"Sex";"Age";"Periods";"Total suicides (number)";"Marital status/Unmarried (number)";"Marital status/Married (number)";"Marital status/Widowed (number)";"Marital status/Divorced (number)";"Methods of suicide/Hanging/strangulation (number)";"Methods of suicide/Drugs/medicines/alcohol (number)";"Methods of suicide/Train/metro (number)";"Methods of suicide/Drowning (number)";"Methods of suicide/Jumping from height (number)";"Methods of suicide/Other method (number)";"Methods of suicide/Method unknown (number)";"Suicide motives/Mental disorder (number)";"Suicide motives/Physical disorder (number)";"Suicide motives/Domestic circumstances (number)";"Suicide motives/Other motive (number)";"Suicide motives/Motive unknown (number)";"Relative figures/Total suicides (Per 100 000 of the average population)";"Relative figures/Marital status/Unmarried (Per 100 000 of the average population)";"Relative figures/Marital status/Married (Per 100 000 of the average population)";"Relative figures/Marital status/Widowed (Per 100 000 of the average population)";"Relative figures/Marital status/Divorced (Per 100 000 of the average population)"
"Total men and women";"50 to 59 years";"1951";"     125";"      28";"      83";"      10";"       4";"      59";"       6";"";"      19";"       2";"      32";"       7";"       0";"       0";"       0";"       0";"     125";"    12.6";"    27.4";"    10.3";"    15.1";"    26.4"
"Total men and women";"50 to 59 years";"1952";"     147";"      25";"      96";"      20";"       6";"      60";"       6";"";"      27";"       3";"      46";"       5";"       0";"       0";"       0";"       0";"     147";"    14.5";"    24.0";"    11.6";"    30.1";"    37.4"
"Total men and women";"50 to 59 years";"1953";"     158";"      30";"     109";"      14";"       5";"      56";"       7";"";"      32";"       4";"      52";"       7";"       0";"       0";"       0";"       0";"     158";"    15.2";"    28.2";"    12.8";"    21.0";"    29.8"
"Total men and women";"50 to 59 years";"1954";"     151";"      26";"     100";"      20";"       5";"      64";"       4";"";"      20";"       1";"      58";"       4";"       0";"       0";"       0";"       0";"     151";"    14.3";"    24.0";"    11.5";"    29.9";"    28.5"
"Total men and women";"50 to 59 years";"1955";"     151";"      26";"      98";"      22";"       5";"      59";"       7";"";"      31";"       6";"      44";"       4";"      66";"      12";"       1";"      20";"      52";"    14.0";"    23.6";"    11.1";"    32.7";"    27.3"
"Total men and women";"50 to 59 years";"1956";"     134";"      25";"      85";"      17";"       7";"      53";"       4";"";"      27";"       1";"      45";"       4";"       0";"       0";"       0";"       0";"     134";"    12.2";"    22.4";"     9.4";"    25.3";"    36.7"
"Total men and women";"50 to 59 years";"1957";"     144";"      22";"      92";"      25";"       5";"      55";"       5";"";"      33";"       3";"      44";"       4";"      73";"      13";"       1";"      19";"      38";"    12.8";"    19.4";"    10.0";"    37.2";"    25.1"
"Total men and women";"50 to 59 years";"1958";"     176";"      27";"     128";"      14";"       7";"      65";"      13";"";"      35";"       4";"      49";"      10";"       0";"       0";"       0";"       0";"     176";"    15.4";"    23.5";"    13.6";"    20.7";"    33.5"
"Total men and women";"50 to 59 years";"1959";"     166";"      41";"     100";"      22";"       3";"      56";"       8";"";"      47";"       4";"      45";"       6";"       0";"       0";"       0";"       0";"     166";"    14.2";"    35.3";"    10.4";"    32.3";"    13.8"
"Total men and women";"50 to 59 years";"1960";"     188";"      33";"     119";"      25";"      11";"      59";"       6";"";"      42";"       4";"      70";"       7";"       0";"       0";"       0";"       0";"     188";"    15.8";"    28.2";"    12.1";"    36.3";"    52.2"
"Total men and women";"50 to 59 years";"1961";"     176";"      30";"     110";"      28";"       8";"      63";"      10";"";"      42";"       7";"      49";"       5";"       0";"       0";"       0";"       0";"     176";"    14.6";"    25.7";"    11.1";"    40.1";"    39.6"
"Total men and women";"50 to 59 years";"1962";"     168";"      30";"     114";"      20";"       4";"      50";"      12";"";"      43";"       3";"      53";"       7";"      76";"      23";"       7";"      16";"      46";"    13.8";"    25.8";"    11.3";"    28.4";"    19.3"
"Total men and women";"50 to 59 years";"1963";"     164";"      31";"     115";"      15";"       3";"      66";"      17";"";"      34";"       6";"      32";"       9";"       0";"       0";"       0";"       0";"     164";"    13.3";"    26.7";"    11.3";"    21.0";"    14.1"
"Total men and women";"50 to 59 years";"1964";"     182";"      38";"     117";"      20";"       7";"      65";"      19";"";"      44";"       6";"      43";"       5";"       0";"       0";"       0";"       0";"     182";"    14.6";"    33.0";"    11.3";"    27.7";"    31.9"
"Total men and women";"50 to 59 years";"1965";"     176";"      32";"     112";"      26";"       6";"      72";"      22";"";"      34";"       3";"      39";"       6";"      83";"      19";"       7";"      15";"      52";"    14.0";"    28.1";"    10.7";"    35.5";"    26.7"
"Total men and women";"50 to 59 years";"1966";"     220";"      43";"     152";"      23";"       2";"      79";"      22";"";"      53";"       5";"      45";"      16";"       0";"       0";"       0";"       0";"     220";"    17.5";"    38.4";"    14.5";"    31.1";"     8.7"
"Total men and women";"50 to 59 years";"1967";"     154";"      30";"      94";"      20";"      10";"      57";"      25";"";"      31";"       5";"      27";"       9";"      77";"      14";"       4";"      16";"      43";"    12.2";"    27.3";"     8.9";"    26.8";"    42.5"
"Total men and women";"50 to 59 years";"1968";"     144";"      36";"      93";"      11";"       4";"      70";"      16";"";"      25";"       5";"      24";"       4";"       0";"       0";"       0";"       0";"     144";"    11.4";"    33.6";"     8.8";"    14.7";"    16.6"
"Total men and women";"50 to 59 years";"1969";"     195";"      31";"     137";"      18";"       9";"      82";"      47";"";"      37";"       9";"      20";"       0";"      89";"      22";"       4";"      21";"      59";"    15.4";"    29.7";"    12.9";"    24.0";"    36.4"
"Total men and women";"50 to 59 years";"1970";"     213";"      33";"     143";"      24";"      13";"      70";"      54";"";"      52";"       8";"      29";"       0";"      92";"      24";"       7";"      25";"      65";"    16.7";"    32.2";"    13.3";"    31.6";"    50.6"
"Total men and women";"50 to 59 years";"1971";"     232";"      36";"     160";"      22";"      14";"      83";"      72";"";"      42";"       5";"      30";"       0";"     118";"      21";"       9";"      26";"      58";"    17.8";"    35.4";"    14.6";"    28.3";"    51.7"
"Total men and women";"50 to 59 years";"1972";"     204";"      29";"     135";"      22";"      18";"      55";"      64";"";"      56";"       6";"      23";"       0";"     105";"      15";"       7";"      19";"      58";"    15.5";"    28.8";"    12.1";"    27.8";"    61.9"
"Total men and women";"50 to 59 years";"1973";"     250";"      36";"     166";"      24";"      24";"      92";"      76";"";"      41";"      12";"      29";"       0";"     144";"      10";"       2";"      18";"      76";"    18.7";"    36.1";"    14.8";"    29.9";"    75.5"
"Total men and women";"50 to 59 years";"1974";"     222";"      23";"     147";"      28";"      24";"      68";"      67";"";"      44";"       4";"      38";"       1";"     113";"      25";"      11";"      17";"      56";"    16.4";"    23.2";"    12.9";"    34.6";"    69.0"
"Total men and women";"50 to 59 years";"1975";"     231";"      36";"     156";"      25";"      14";"      83";"      62";"";"      47";"       5";"      34";"       0";"     121";"      20";"      10";"      17";"      63";"    16.9";"    36.0";"    13.6";"    30.6";"    36.7"
"Total men and women";"50 to 59 years";"1976";"     243";"      36";"     157";"      25";"      25";"      87";"      61";"";"      47";"      15";"      33";"       0";"     107";"      19";"      10";"      15";"      92";"    17.5";"    35.6";"    13.5";"    30.3";"    60.0"
"Total men and women";"50 to 59 years";"1977";"     233";"      34";"     146";"      20";"      33";"      83";"      52";"";"      46";"      17";"      34";"       1";"     103";"      14";"       5";"      16";"      95";"    16.6";"    33.6";"    12.5";"    24.0";"    73.4"
"Total men and women";"50 to 59 years";"1978";"     216";"      28";"     141";"      25";"      22";"      74";"      48";"";"      42";"      16";"      36";"       0";"      98";"      15";"       9";"      15";"      79";"    15.2";"    27.5";"    11.9";"    29.6";"    45.5"
"Total men and women";"50 to 59 years";"1979";"     287";"      52";"     186";"      25";"      24";"     108";"      58";"      18";"      52";"      13";"      38";"       0";"     140";"      20";"      10";"      14";"     103";"    20.0";"    50.5";"    15.5";"    29.1";"    46.1"
"Total men and women";"50 to 59 years";"1980";"     237";"      40";"     147";"      18";"      32";"      75";"      54";"      22";"      55";"       6";"      24";"       1";"     128";"      19";"       6";"      12";"      72";"    16.4";"    38.6";"    12.2";"    21.0";"    57.4"
"Total men and women";"50 to 59 years";"1981";"     239";"      41";"     149";"      26";"      23";"     103";"      38";"      16";"      44";"      11";"      27";"       0";"     119";"      24";"      11";"      13";"      72";"    16.5";"    39.6";"    12.4";"    30.7";"    38.6"
"Total men and women";"50 to 59 years";"1982";"     241";"      35";"     150";"      26";"      30";"      95";"      49";"      17";"      31";"      18";"      31";"       0";"     115";"      19";"      20";"      15";"      72";"    16.6";"    34.1";"    12.5";"    31.1";"    46.3"
"Total men and women";"50 to 59 years";"1983";"     284";"      49";"     164";"      25";"      46";"     114";"      45";"      24";"      36";"      21";"      44";"       0";"     128";"      14";"      27";"      33";"      82";"    19.5";"    48.2";"    13.6";"    30.4";"    65.0"
"Total men and women";"50 to 59 years";"1984";"     289";"      46";"     172";"      25";"      46";"     124";"      50";"      27";"      47";"      17";"      24";"       0";"     144";"      10";"      30";"      26";"      79";"    19.8";"    45.7";"    14.3";"    30.9";"    60.0"
"Total men and women";"50 to 59 years";"1985";"     254";"      48";"     139";"      24";"      43";"     108";"      45";"      18";"      31";"      21";"      31";"       0";"      96";"      12";"      25";"      19";"     102";"    17.4";"    48.0";"    11.6";"    30.1";"    51.7"
"Total men and women";"50 to 59 years";"1986";"     238";"      40";"     134";"      18";"      46";"     110";"      36";"      19";"      35";"      16";"      22";"       0";"      91";"       8";"      23";"      14";"     102";"    16.2";"    40.3";"    11.2";"    22.9";"    51.2"
"Total men and women";"50 to 59 years";"1987";"     245";"      40";"     130";"      19";"      56";"     111";"      34";"      22";"      29";"      10";"      39";"       0";"      90";"       6";"      19";"      18";"     112";"    16.6";"    40.6";"    10.8";"    24.6";"    58.2"
"Total men and women";"50 to 59 years";"1988";"     230";"      41";"     133";"      17";"      39";"      86";"      34";"      29";"      34";"      15";"      31";"       1";"      95";"       8";"      21";"      13";"      93";"    15.5";"    41.8";"    11.0";"    22.3";"    37.8"
"Total men and women";"50 to 59 years";"1989";"     250";"      43";"     139";"      16";"      52";"      81";"      36";"      47";"      30";"      26";"      30";"       0";"     117";"      12";"      39";"      24";"      58";"    16.7";"    44.2";"    11.4";"    21.3";"    46.9"
"Total men and women";"50 to 59 years";"1990";"     205";"      31";"     111";"      24";"      39";"      91";"      18";"      20";"      37";"      11";"      28";"       0";"      89";"      16";"      19";"      25";"      56";"    13.5";"    32.1";"     9.1";"    32.4";"    32.8"
"Total men and women";"50 to 59 years";"1991";"     236";"      35";"     129";"      25";"      47";"     100";"      23";"      26";"      25";"      15";"      47";"       0";"     117";"      19";"      23";"      19";"      58";"    15.4";"    36.3";"    10.4";"    34.3";"    37.2"
"Total men and women";"50 to 59 years";"1992";"     216";"      38";"     117";"      17";"      44";"      86";"      26";"      26";"      31";"      19";"      28";"       0";"     122";"       9";"      19";"      16";"      50";"    13.9";"    39.5";"     9.4";"    23.7";"    32.8"
"Total men and women";"50 to 59 years";"1993";"     216";"      39";"     109";"      14";"      54";"      87";"      39";"      14";"      21";"      15";"      39";"       1";"     118";"       7";"      22";"      24";"      45";"    13.7";"    40.2";"     8.6";"    19.6";"    37.9"
"Total men and women";"50 to 59 years";"1994";"     224";"      44";"     120";"      15";"      45";"     102";"      21";"      23";"      35";"       8";"      35";"       0";"     115";"      14";"      24";"      16";"      55";"    13.8";"    44.3";"     9.3";"    21.1";"    29.5"
